Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Priest,2018,16,15+,"['Yeon Woo Jin', 'Jung Yoo Mi', 'Park Yong Woo', 'Son Jong Hak', 'Oh Yeon Ah', 'Yu Bee']",OCN,"['Thriller', 'Horror', 'Romance', 'Drama']","['Priest', 'Doctor Female Lead', 'Catholicism In Korea', 'Kind Male Lead', 'Competent Female Lead', 'Protective Male Lead', 'Kind-hearted Male Lead', 'Impulsive Female Lead', 'Possessed', 'Mad Dog', '(Vote or add tags)']",7.9
Undercover,2021,16,15+,"['Ji Jin Hee', 'Kim Hyun Joo', 'Yeon Woo Jin', 'Han Sun Hwa', 'Yoo Sun Ho', 'Lee Jae In']",jTBC,"['Action', 'Thriller', 'Mystery', 'Crime']","['Corruption', 'Strong Female Lead', 'Double Identity', 'Political', 'Loving Husband', 'Strong Male Lead', 'Smart Female Lead', 'Family Relationship', 'Married Couple', 'Smart Male Lead', '(Vote or add tags)']",7.9
Heart Surgeons,2018,32,15+,"['Go Soo', 'Uhm Ki Joon', 'Seo Ji Hye', 'Choi Dae Hoon', 'Nam Kyung Eup', 'Jang So Yeon']",SBS,"['Action', 'Life', 'Drama', 'Medical']","['Power Struggle', 'Smart Male Lead', 'Strong Friendship', 'Strong Female Lead', 'Bromance', 'Heart Transplant', 'Strong Male Lead', 'Smart Female Lead', 'Secret', 'Death', '(Vote or add tags)']",7.9
Arang and the Magistrate,2012,20,13+,"['Lee Joon Gi', 'Shin Min Ah', 'Yeon Woo Jin', 'Kwon Oh Jung', 'Hwang Bo Ra', 'Han Jung Soo']",MBC,"['Historical', 'Comedy', 'Romance', 'Supernatural']","['Ghost', 'Interspecies Romance', 'Amnesia', 'Joseon Dynasty', 'Mother-Son Relationship', 'Strong Female Lead', 'Political', 'Drama', 'Missing Person', 'Grim Reaper Supporting Character', '(Vote or add tags)']",7.9
So Not Worth it,2021,12,15+,"['Park Se Wan', 'Shin Hyun Seung', 'Choi Young Jae', 'Minnie', 'Han Hyun Min', 'Terris Brown']",Netflix,"['Comedy', 'Romance', 'Youth', 'Sitcom']","['Student', 'Multiple Mains', 'Hardworking Female Lead', 'Foreigner Male Lead', 'Dormitory', 'Overcoming Struggles', 'Brother-Sister Relationship', 'Bright Female Lead', 'Independent Female Lead', 'Sweet Male Lead', '(Vote or add tags)']",7.9
Gap Dong,2014,20,15+,"['Yoon Sang Hyun', 'Lee Joon', 'Kim Min Jung', 'Kim Ji Won', 'Sung Dong Il', 'Jung In Ki']",tvN,"['Thriller', 'Mystery', 'Drama']","['Detective Male Lead', 'Psychopath', 'Murder', 'Hwaseong Serial Murders', 'Serial Killer', 'Investigation', 'Suspense', 'Detective Fiction', 'Death', 'Enemy Mine', '(Vote or add tags)']",7.9
Heart to Heart,2015,16,15+,"['Choi Kang Hee', 'Chun Jung Myung', 'Lee Jae Yoon', 'Ahn So Hee', 'Hwang Seung Eon', 'Lee Moon Jung']",tvN,"['Psychological', 'Comedy', 'Romance', 'Family']","['Trauma', 'Shy Female Lead', 'Sociophobia', 'Mental Illness', 'Healing', 'Tragic Past', 'Psychiatrist Male Lead', 'Doctor Male Lead', 'Steamy Kiss', 'Rich Man/Poor Woman', '(Vote or add tags)']",7.9
The Temperature Of Language: Our Nineteen,2020,16,15+,"['Jin  Ji Hee', 'Kang  Min Ah', 'Nam Yoon Su', 'Park Se Hyun', 'Yoo Jung Woo', 'Joo Eo Jin']","tvN,  vLive","['Friendship', 'Romance', 'School', 'Youth', 'Drama']","['Web Series', 'Injury', 'Secret', 'Dream', 'Multiple Mains', 'High School', 'Transfer Student', 'Friends To Lovers', 'Student', 'Mental Health', '(Vote or add tags)']",7.9
Let's Eat 2,2015,18,15+,"['Yoon Doo Joon', 'Seo Hyun Jin', 'Kwon Yool', 'Kim Hee Won', 'Hwang Seok Jung', 'Jo Eun Ji']",tvN,"['Food', 'Comedy', 'Romance', 'Drama']","['Bad/Wrong Tag', 'Nice Male Lead', 'Love Triangle', 'Bromance', 'Bad/Wrong Tag', 'Nice Female Lead', 'Civil Servant', 'Secret Crush', 'Secret', 'Strong Male Lead', '(Vote or add tags)']",7.9
The One and Only,2021,16,15+,"['Ahn Eun Jin', 'Kim Kyung Nam', 'Kang Ye Won', 'Joy', 'Go Doo Shim', 'Jang Hyun Sung']",jTBC,"['Mystery', 'Romance', 'Drama', 'Melodrama']","['Terminal Illness', 'Hospice Care', 'Orphan Male Lead', 'Death', 'Murder', 'Skilled Killer', 'Housewife', 'Tragic Past', 'Investigation', 'Cynical Male Lead', '(Vote or add tags)']",7.9
My Golden Life,2017,52,15+,"['Park Shi Hoo', 'Shin Hye Sun', 'Seo Eun Soo', 'Lee Tae Hwan', 'Lee Da In', 'Lee Tae Sung']",KBS2,"['Business', 'Comedy', 'Romance', 'Family']","['Rich Man/Poor Woman', 'Rich Male Lead', 'Sibling', 'Father-Daughter Relationship', 'Nice Male Lead', 'Badass Female Lead', 'Smart Female Lead', 'Forbidden Love', 'Depression', 'Smart Male Lead', '(Vote or add tags)']",7.9
Let Me Be Your Knight,2021,12,15+,"['Jung In Sun', 'Lee Jun Young', 'Jang Dong Joo', 'Kim Jong Hyun', 'Yoon Ji Sung', 'Kim Dong Hyun']","iQiyi,  SBS","['Music', 'Comedy', 'Romance', 'Drama']","['Musician', 'Medical', 'Eccentric Male Lead', 'Lying', 'Idol', 'Healing', 'Sleep Disorder', 'Sleepwalking', 'Cohabitation', 'Popular Male Lead', '(Vote or add tags)']",7.9
Last,2015,16,15+,"['Yoon Kye Sang', 'Lee Bum Soo', 'Seo Yea Ji', 'Park Won Sang', 'Park Ye Jin', 'Gu Jae Yi']",jTBC,"['Action', 'Thriller', 'Crime']","['Underworld', 'Death', 'Revenge', 'Adapted From A Webtoon', 'Suspense', '(Vote or add tags)']",7.9
My Beautiful Bride,2015,16,15+,"['Kim Mu Yeol', 'Lee Si Young', 'Go Sung Hee', 'Ryu Seung Soo', 'Park Hae Joon', 'Lee Jae Yong']",OCN,"['Action', 'Mystery', 'Romance', 'Crime']","['Gangster Supporting Character', 'Police Officer Female Lead', 'Police Officer Male Lead', 'Underworld', 'Conflict', 'Hardworking Male Lead', 'Unconditional Love', 'Hidden Personality', 'Strong Male Lead', 'Loan Shark', '(Vote or add tags)']",7.9
Be My Dream Family,2021,120,15+,"['Choi Jung Woo', 'Park Joon Geum', 'Wang Ji Hye', 'Ham Eun Jung', 'Joo Ah Reum', 'Ryu Jin']",KBS1,"['Comedy', 'Romance', 'Drama', 'Family']","['Family Relationship', 'Multiple Couples', 'Marriage', 'Cold Man/Warm Woman', 'Stay At Home Dad', 'Single Mother', 'Single Father', 'Working Mom', 'Twins', 'Multiple Mains', '(Vote or add tags)']",7.9
Kkondae  Intern,2020,24,15+,"['Park Hae Jin', 'Kim Eung Soo', 'Han Ji Eun', 'Park Ki Woong', 'Park Ah In', 'Noh Jong Hyun']",MBC,"['Business', 'Comedy', 'Life', 'Drama']","['Bromance', 'Internship', 'Workplace', 'Food', 'Marketing', 'Slight Romance', 'Rivalry', 'Revenge', 'Hardship', 'Age Gap [Drama Life]', '(Vote or add tags)']",7.9
Less Than Evil,2018,32,18+,"['Shin Ha Kyun', 'Lee Seol', 'Park Ho San', 'Kim Gun Woo', 'Baro', 'Hong Eun Hee']",MBC,"['Thriller', 'Mystery', 'Psychological', 'Drama']","['Detective Female Lead', 'Sense Of Culpability', 'Hypocrisy', 'Revenge Killing', 'Gaslighting', 'Flashback To Past', 'Crime Against Women', 'Secret', 'Wrongfully Accused', 'Strong Male Lead', '(Vote or add tags)']",7.9
Where Stars Land,2018,32,15+,"['Chae Soo Bin', 'Lee Je Hoon', 'Lee Dong Gun', 'Kim Jee Soo', 'Kim Kyung Nam', 'Lee Soo Kyung']","SBS,  Viki","['Comedy', 'Romance', 'Drama', 'Melodrama']","['Cold Man/Warm Woman', 'Office Romance', 'Teamwork', 'Flashback To Past', 'Male Chases Female First', 'Customer Service Staff', 'Security Guard', 'Clumsy Female Lead', 'Airhead Female Lead', 'Steamy Kiss', '(Vote or add tags)']",7.9
